order_id,order_date,category,subcategory,region,channel,order_amount,status,updated_at
1,2026-03-24 16:02:47.784989,家居,家具,东北,拼多多,2611.91,paid,2026-06-22 11:54:47.788110
2,2026-03-24 19:58:47.784989,美妆,彩妆,西南,抖音,47.76,paid,2026-06-22 11:54:47.788311
3,2026-03-24 17:38:47.784989,服装,童装,西北,线上官网,492.45,paid,2026-06-22 11:54:47.788504
4,2026-03-24 16:46:47.784989,服装,男装,西南,京东,153.9,paid,2026-06-22 11:54:47.788665
5,2026-03-24 18:43:47.784989,食品,饮料,华东,天猫,118.41,paid,2026-06-22 11:54:47.788833
6,2026-03-24 21:17:47.784989,服装,女装,西北,抖音,306.7,paid,2026-06-22 11:54:47.788991
7,2026-03-24 20:07:47.784989,美妆,彩妆,华东,天猫,624.63,paid,2026-06-22 11:54:47.789182
8,2026-03-24 20:33:47.784989,食品,生鲜,华东,拼多多,137.19,paid,2026-06-22 11:54:47.789370
9,2026-03-24 11:00:47.784989,电子产品,配件,东北,京东,3160.84,paid,2026-06-22 11:54:47.789545
10,2026-03-24 15:48:47.784989,美妆,彩妆,东北,拼多多,54.2,paid,2026-06-22 11:54:47.789701
11,2026-03-24 14:27:47.784989,家居,家具,西南,抖音,323.24,paid,2026-06-22 11:54:47.789857
12,2026-03-24 15:27:47.784989,服装,女装,华中,天猫,148.3,paid,2026-06-22 11:54:47.790013
13,2026-03-24 17:36:47.784989,电子产品,配件,西北,线上官网,2421.99,paid,2026-06-22 11:54:47.790192
14,2026-03-24 12:11:47.784989,电子产品,配件,华南,天猫,1954.41,cancelled,2026-06-22 11:54:47.790366
15,2026-03-24 09:18:47.784989,服装,童装,华东,线上官网,489.48,refunded,2026-06-22 11:54:47.790526
16,2026-03-24 13:51:47.784989,服装,男装,西南,天猫,86.38,paid,2026-06-22 11:54:47.790680
17,2026-03-24 19:35:47.784989,服装,女装,西北,京东,194.35,paid,2026-06-22 11:54:47.790839
18,2026-03-24 19:27:47.784989,食品,饮料,华北,拼多多,91.56,paid,2026-06-22 11:54:47.790993
19,2026-03-24 10:00:47.784989,电子产品,手机,华南,抖音,1660.74,cancelled,2026-06-22 11:54:47.791169
20,2026-03-24 09:23:47.784989,家居,家具,华中,抖音,2583.34,paid,2026-06-22 11:54:47.791332
21,2026-03-24 22:17:47.784989,家居,床品,华东,线上官网,2024.16,cancelled,2026-06-22 11:54:47.791495
22,2026-03-24 15:02:47.784989,服装,女装,华北,京东,156.76,paid,2026-06-22 11:54:47.791648
23,2026-03-24 19:33:47.784989,电子产品,手机,西南,京东,1627.08,paid,2026-06-22 11:54:47.791801
24,2026-03-24 09:43:47.784989,美妆,彩妆,华东,京东,527.01,paid,2026-06-22 11:54:47.791954
25,2026-03-24 20:32:47.784989,家居,厨具,华中,天猫,1703.02,cancelled,2026-06-22 11:54:47.792208
26,2026-03-24 16:45:47.784989,家居,床品,华中,天猫,2814.85,cancelled,2026-06-22 11:54:47.792402
27,2026-03-24 15:28:47.784989,服装,童装,西北,天猫,195.15,paid,2026-06-22 11:54:47.792583
28,2026-03-24 22:15:47.784989,服装,童装,华南,拼多多,280.1,cancelled,2026-06-22 11:54:47.792768
29,2026-03-24 14:57:47.784989,家居,床品,东北,线上官网,549.62,paid,2026-06-22 11:54:47.792943
30,2026-03-24 13:38:47.784989,服装,女装,华东,线上官网,107.18,paid,2026-06-22 11:54:47.793131
31,2026-03-24 11:16:47.784989,家居,厨具,华中,线上官网,2911.66,paid,2026-06-22 11:54:47.793306
32,2026-03-24 10:31:47.784989,食品,饮料,东北,天猫,143.93,paid,2026-06-22 11:54:47.793501
33,2026-03-24 11:36:47.784989,电子产品,手机,华中,京东,3457.0,paid,2026-06-22 11:54:47.793657
34,2026-03-24 13:38:47.784989,电子产品,手机,西北,线上官网,1901.36,paid,2026-06-22 11:54:47.793814
35,2026-03-24 18:31:47.784989,家居,家具,西北,天猫,1186.38,paid,2026-06-22 11:54:47.793971
36,2026-03-24 10:34:47.784989,电子产品,手机,华中,线上官网,3390.89,paid,2026-06-22 11:54:47.794187
37,2026-03-24 20:30:47.784989,家居,家具,华东,拼多多,699.38,paid,2026-06-22 11:54:47.794360
38,2026-03-24 15:03:47.784989,服装,男装,华北,京东,223.43,paid,2026-06-22 11:54:47.794557
39,2026-03-24 11:48:47.784989,服装,男装,华南,京东,411.57,cancelled,2026-06-22 11:54:47.794714
40,2026-03-24 17:29:47.784989,食品,饮料,华东,拼多多,97.22,paid,2026-06-22 11:54:47.794870
41,2026-03-24 17:06:47.784989,电子产品,手机,西北,天猫,1839.36,paid,2026-06-22 11:54:47.795025
42,2026-03-24 12:52:47.784989,家居,厨具,东北,线下门店,1053.13,paid,2026-06-22 11:54:47.795219
43,2026-03-24 20:08:47.784989,电子产品,配件,华中,抖音,4981.69,refunded,2026-06-22 11:54:47.795400
44,2026-03-24 21:36:47.784989,服装,女装,西南,抖音,150.16,paid,2026-06-22 11:54:47.795572
45,2026-03-24 20:53:47.784989,食品,零食,华东,抖音,83.04,paid,2026-06-22 11:54:47.795727
46,2026-03-24 17:38:47.784989,食品,饮料,华南,天猫,122.87,paid,2026-06-22 11:54:47.795889
47,2026-03-24 21:31:47.784989,电子产品,配件,华中,线上官网,2649.72,paid,2026-06-22 11:54:47.796056
48,2026-03-24 17:48:47.784989,美妆,护肤,东北,抖音,432.79,paid,2026-06-22 11:54:47.796234
49,2026-03-24 20:52:47.784989,电子产品,手机,西北,京东,704.51,cancelled,2026-06-22 11:54:47.796406
50,2026-03-24 13:19:47.784989,服装,女装,华南,线上官网,166.98,paid,2026-06-22 11:54:47.796562
51,2026-03-24 10:58:47.784989,美妆,护肤,华中,抖音,748.2,paid,2026-06-22 11:54:47.796717
52,2026-03-24 19:26:47.784989,美妆,护肤,东北,天猫,332.6,paid,2026-06-22 11:54:47.796873
53,2026-03-24 14:02:47.784989,电子产品,手机,华东,天猫,1730.33,paid,2026-06-22 11:54:47.797027
54,2026-03-24 12:00:47.784989,美妆,香水,华中,拼多多,241.54,paid,2026-06-22 11:54:47.797207
55,2026-03-24 20:04:47.784989,电子产品,电脑,西南,天猫,2741.74,paid,2026-06-22 11:54:47.797379
56,2026-03-24 20:33:47.784989,食品,零食,华东,线上官网,146.73,paid,2026-06-22 11:54:47.797540
57,2026-03-25 15:41:47.784989,服装,女装,华南,天猫,206.71,paid,2026-06-22 11:54:47.797714
58,2026-03-25 10:12:47.784989,食品,零食,华中,拼多多,31.92,paid,2026-06-22 11:54:47.797873
59,2026-03-25 16:24:47.784989,食品,生鲜,华北,线上官网,44.99,paid,2026-06-22 11:54:47.798040
60,2026-03-25 13:05:47.784989,食品,生鲜,华北,京东,50.41,paid,2026-06-22 11:54:47.798207
61,2026-03-25 14:46:47.784989,电子产品,手机,华东,天猫,1079.37,cancelled,2026-06-22 11:54:47.798380
62,2026-03-25 22:25:47.784989,食品,生鲜,华中,线上官网,197.53,cancelled,2026-06-22 11:54:47.798535
63,2026-03-25 20:44:47.784989,家居,床品,西北,天猫,2696.1,paid,2026-06-22 11:54:47.798689
64,2026-03-25 18:43:47.784989,服装,女装,西北,京东,219.78,paid,2026-06-22 11:54:47.798843
65,2026-03-25 16:39:47.784989,电子产品,手机,华中,京东,4051.27,paid,2026-06-22 11:54:47.798997
66,2026-03-25 09:52:47.784989,电子产品,配件,华南,天猫,3406.63,paid,2026-06-22 11:54:47.799210
67,2026-03-25 11:30:47.784989,美妆,彩妆,西北,线上官网,91.78,paid,2026-06-22 11:54:47.799410
68,2026-03-25 17:01:47.784989,美妆,香水,西北,天猫,544.86,refunded,2026-06-22 11:54:47.799585
69,2026-03-25 09:25:47.784989,食品,饮料,华北,拼多多,55.91,paid,2026-06-22 11:54:47.799740
70,2026-03-25 10:12:47.784989,美妆,彩妆,华北,抖音,452.67,paid,2026-06-22 11:54:47.799895
71,2026-03-25 22:59:47.784989,服装,男装,东北,京东,262.21,paid,2026-06-22 11:54:47.800065
72,2026-03-25 21:07:47.784989,家居,厨具,西北,抖音,2192.63,refunded,2026-06-22 11:54:47.800229
73,2026-03-25 21:41:47.784989,食品,零食,华中,线上官网,139.74,paid,2026-06-22 11:54:47.800399
74,2026-03-25 15:01:47.784989,电子产品,电脑,东北,拼多多,3308.46,cancelled,2026-06-22 11:54:47.800608
75,2026-03-25 12:29:47.784989,美妆,香水,东北,线上官网,507.46,cancelled,2026-06-22 11:54:47.800835
